Date,Open*,High,Low,Close,Volume
1/25/16,$402.32 ,$402.32 ,$388.55 ,$391.73 ,"$59,062,400 "
1/26/16,$392.00 ,$397.77 ,$390.58 ,$392.15 ,"$58,147,000 "
1/27/16,$392.44 ,$396.84 ,$391.78 ,$394.97 ,"$47,424,400 "
1/28/16,$395.15 ,$395.50 ,$379.73 ,$380.29 ,"$59,247,900 "
1/29/16,$380.11 ,$384.38 ,$365.45 ,$379.47 ,"$86,125,296 "
1/30/16,$378.86 ,$380.92 ,$376.49 ,$378.26 ,"$30,284,400 "
1/31/16,$378.29 ,$380.35 ,$367.83 ,$368.77 ,"$37,894,300 "
2/1/16,$369.35 ,$378.07 ,$367.96 ,$373.06 ,"$51,656,700 "
2/2/16,$372.92 ,$375.88 ,$372.92 ,$374.45 ,"$40,378,700 "
2/3/16,$374.65 ,$374.95 ,$368.05 ,$369.95 ,"$45,933,400 "
2/4/16,$370.17 ,$391.61 ,$369.99 ,$389.59 ,"$69,285,504 "
2/5/16,$388.90 ,$391.09 ,$385.57 ,$386.55 ,"$43,825,000 "
2/6/16,$386.59 ,$386.63 ,$372.39 ,$376.52 ,"$49,249,300 "
2/7/16,$376.51 ,$380.87 ,$374.90 ,$376.62 ,"$37,076,300 "
2/8/16,$376.76 ,$379.88 ,$373.33 ,$373.45 ,"$47,671,100 "
2/9/16,$373.42 ,$377.25 ,$372.90 ,$376.03 ,"$55,318,500 "
2/10/16,$376.15 ,$385.48 ,$375.78 ,$381.65 ,"$85,130,896 "
2/11/16,$382.11 ,$383.13 ,$376.40 ,$379.65 ,"$74,375,600 "
2/12/16,$379.69 ,$384.95 ,$379.60 ,$384.26 ,"$67,042,800 "
2/13/16,$384.64 ,$391.86 ,$384.64 ,$391.86 ,"$61,911,700 "
2/14/16,$392.93 ,$407.23 ,$392.93 ,$407.23 ,"$74,469,800 "
2/15/16,$407.57 ,$410.38 ,$397.75 ,$400.18 ,"$74,070,496 "
2/16/16,$401.43 ,$408.95 ,$401.43 ,$407.49 ,"$73,093,104 "
2/17/16,$407.66 ,$421.17 ,$406.78 ,$416.32 ,"$83,193,600 "
2/18/16,$416.57 ,$426.00 ,$415.64 ,$422.37 ,"$76,752,600 "
2/19/16,$422.73 ,$423.10 ,$417.60 ,$420.79 ,"$55,711,300 "
2/20/16,$421.60 ,$441.98 ,$421.60 ,$437.16 ,"$93,992,096 "
2/21/16,$437.77 ,$448.05 ,$429.08 ,$438.80 ,"$89,820,704 "
2/22/16,$438.99 ,$439.05 ,$432.92 ,$437.75 ,"$85,385,200 "
2/23/16,$438.26 ,$439.86 ,$417.82 ,$420.74 ,"$85,244,896 "
2/24/16,$420.96 ,$425.55 ,$413.91 ,$424.95 ,"$67,743,696 "
2/25/16,$425.04 ,$427.72 ,$420.42 ,$424.54 ,"$70,798,000 "
2/26/16,$424.63 ,$432.15 ,$421.62 ,$432.15 ,"$61,486,000 "
2/27/16,$432.84 ,$434.23 ,$428.10 ,$432.52 ,"$41,893,600 "
2/28/16,$432.57 ,$435.68 ,$423.82 ,$433.50 ,"$53,033,400 "
2/29/16,$433.44 ,$441.51 ,$431.69 ,$437.70 ,"$60,694,700 "
3/1/16,$437.92 ,$439.65 ,$432.32 ,$435.12 ,"$74,895,800 "
3/2/16,$435.13 ,$435.92 ,$423.99 ,$423.99 ,"$74,955,296 "
3/3/16,$423.91 ,$425.37 ,$419.41 ,$421.65 ,"$100,484,000 "
3/4/16,$421.84 ,$425.18 ,$410.94 ,$410.94 ,"$90,856,096 "
3/5/16,$410.78 ,$411.26 ,$394.04 ,$400.57 ,"$135,384,992 "
3/6/16,$400.52 ,$411.91 ,$395.78 ,$407.71 ,"$91,212,496 "
3/7/16,$407.76 ,$415.92 ,$406.31 ,$414.32 ,"$85,762,400 "
3/8/16,$414.46 ,$416.24 ,$411.09 ,$413.97 ,"$70,311,696 "
3/9/16,$413.89 ,$416.03 ,$411.61 ,$414.86 ,"$70,012,304 "
3/10/16,$414.74 ,$417.51 ,$413.25 ,$417.13 ,"$81,022,896 "
3/11/16,$417.24 ,$423.93 ,$417.01 ,$421.69 ,"$73,969,696 "
3/12/16,$421.61 ,$421.80 ,$410.09 ,$411.62 ,"$92,712,896 "
3/13/16,$411.65 ,$416.60 ,$411.64 ,$414.07 ,"$74,322,800 "
3/14/16,$414.20 ,$416.68 ,$414.20 ,$416.44 ,"$95,259,400 "
3/15/16,$416.39 ,$418.13 ,$414.98 ,$416.83 ,"$66,781,700 "
3/16/16,$416.89 ,$417.69 ,$415.91 ,$417.01 ,"$65,185,800 "
3/17/16,$417.89 ,$421.00 ,$417.89 ,$420.62 ,"$83,528,600 "
3/18/16,$420.55 ,$420.55 ,$406.14 ,$409.55 ,"$104,940,000 "
3/19/16,$409.27 ,$410.98 ,$407.23 ,$410.44 ,"$58,423,000 "
3/20/16,$410.40 ,$414.63 ,$410.40 ,$413.76 ,"$45,947,900 "
3/21/16,$413.42 ,$413.42 ,$410.38 ,$413.31 ,"$61,655,400 "
3/22/16,$413.13 ,$418.38 ,$412.53 ,$418.09 ,"$66,813,300 "
3/23/16,$418.16 ,$419.27 ,$417.36 ,$418.04 ,"$61,444,200 "
3/24/16,$418.42 ,$418.68 ,$415.49 ,$416.39 ,"$68,346,704 "
3/25/16,$416.51 ,$418.08 ,$415.56 ,$417.18 ,"$52,560,000 "
3/26/16,$417.36 ,$418.99 ,$416.26 ,$417.95 ,"$44,650,400 "
3/27/16,$418.14 ,$428.80 ,$417.71 ,$426.77 ,"$71,229,400 "
3/28/16,$426.55 ,$426.86 ,$423.29 ,$424.23 ,"$68,522,800 "
3/29/16,$424.30 ,$426.20 ,$412.68 ,$416.52 ,"$75,411,504 "
3/30/16,$416.83 ,$416.83 ,$412.50 ,$414.82 ,"$66,034,100 "
3/31/16,$415.26 ,$418.37 ,$415.26 ,$416.73 ,"$60,215,200 "
4/1/16,$416.76 ,$418.17 ,$415.83 ,$417.96 ,"$51,235,700 "
4/2/16,$418.42 ,$422.08 ,$418.42 ,$420.87 ,"$45,681,200 "
4/3/16,$421.17 ,$421.58 ,$419.70 ,$420.90 ,"$38,053,700 "
4/4/16,$421.30 ,$422.34 ,$419.60 ,$421.44 ,"$50,634,300 "
4/5/16,$421.02 ,$424.26 ,$420.61 ,$424.03 ,"$60,718,000 "
4/6/16,$424.28 ,$424.53 ,$422.73 ,$423.41 ,"$59,091,000 "
4/7/16,$423.62 ,$423.66 ,$420.52 ,$422.74 ,"$57,858,600 "
4/8/16,$422.91 ,$425.36 ,$419.64 ,$420.35 ,"$63,454,700 "
4/9/16,$420.81 ,$420.89 ,$416.52 ,$419.41 ,"$49,792,700 "
4/10/16,$419.59 ,$422.43 ,$419.26 ,$421.56 ,"$73,478,600 "
4/11/16,$421.87 ,$422.74 ,$420.53 ,$422.48 ,"$50,747,500 "
4/12/16,$422.84 ,$427.28 ,$422.84 ,$425.19 ,"$70,728,800 "
4/13/16,$425.63 ,$426.66 ,$422.92 ,$423.73 ,"$69,060,400 "
4/14/16,$423.93 ,$425.37 ,$423.01 ,$424.28 ,"$45,281,000 "
4/15/16,$424.43 ,$429.93 ,$424.43 ,$429.71 ,"$54,801,500 "
4/16/16,$429.58 ,$432.63 ,$428.98 ,$430.57 ,"$39,392,800 "
4/17/16,$430.64 ,$431.37 ,$426.08 ,$427.40 ,"$52,125,900 "
4/18/16,$427.61 ,$429.27 ,$427.09 ,$428.59 ,"$55,670,900 "
4/19/16,$428.70 ,$436.02 ,$428.10 ,$435.51 ,"$52,810,500 "
4/20/16,$435.32 ,$443.05 ,$434.41 ,$441.39 ,"$72,890,096 "
4/21/16,$441.42 ,$450.55 ,$440.95 ,$449.42 ,"$68,204,704 "
4/22/16,$449.69 ,$449.81 ,$444.15 ,$445.74 ,"$58,804,400 "
4/23/16,$445.86 ,$450.28 ,$444.33 ,$450.28 ,"$50,485,400 "
4/24/16,$450.56 ,$460.15 ,$448.93 ,$458.55 ,"$68,198,400 "
4/25/16,$459.12 ,$466.62 ,$453.59 ,$461.43 ,"$87,091,800 "
4/26/16,$461.65 ,$467.96 ,$461.62 ,$466.09 ,"$78,971,904 "
4/27/16,$466.26 ,$467.08 ,$444.13 ,$444.69 ,"$93,564,896 "
4/28/16,$445.04 ,$449.55 ,$436.65 ,$449.01 ,"$74,064,704 "
4/29/16,$449.41 ,$455.38 ,$446.02 ,$455.10 ,"$49,258,500 "
4/30/16,$455.18 ,$455.59 ,$447.70 ,$448.32 ,"$69,322,600 "
5/1/16,$448.48 ,$452.48 ,$447.93 ,$451.88 ,"$40,660,100 "
5/2/16,$451.93 ,$452.45 ,$441.78 ,$444.67 ,"$92,127,000 "
5/3/16,$444.73 ,$451.10 ,$442.62 ,$450.30 ,"$59,366,400 "
5/4/16,$450.18 ,$450.38 ,$445.63 ,$446.72 ,"$50,407,300 "
5/5/16,$446.71 ,$448.51 ,$445.88 ,$447.98 ,"$50,440,800 "
5/6/16,$447.94 ,$461.38 ,$447.07 ,$459.60 ,"$72,796,800 "
5/7/16,$459.64 ,$460.67 ,$457.32 ,$458.54 ,"$38,364,500 "
5/8/16,$458.43 ,$459.42 ,$455.98 ,$458.55 ,"$40,315,000 "
5/9/16,$458.21 ,$462.48 ,$456.53 ,$460.48 ,"$55,493,100 "
5/10/16,$460.52 ,$461.93 ,$448.95 ,$450.89 ,"$58,956,100 "
5/11/16,$450.86 ,$454.58 ,$450.86 ,$452.73 ,"$50,605,200 "
5/12/16,$452.45 ,$454.95 ,$449.25 ,$454.77 ,"$59,849,300 "
5/13/16,$454.85 ,$457.05 ,$453.45 ,$455.67 ,"$60,845,000 "
5/14/16,$455.82 ,$456.84 ,$454.79 ,$455.67 ,"$37,209,000 "
5/15/16,$455.76 ,$458.69 ,$455.46 ,$457.57 ,"$28,514,000 "
5/16/16,$457.59 ,$458.20 ,$452.95 ,$454.16 ,"$59,171,500 "
5/17/16,$454.01 ,$455.07 ,$453.61 ,$453.78 ,"$64,100,300 "
5/18/16,$453.69 ,$456.00 ,$453.30 ,$454.62 ,"$86,850,096 "
5/19/16,$454.52 ,$454.63 ,$438.71 ,$438.71 ,"$96,027,400 "
5/20/16,$437.79 ,$444.05 ,$437.39 ,$442.68 ,"$81,987,904 "
5/21/16,$442.97 ,$443.78 ,$441.71 ,$443.19 ,"$42,762,300 "
5/22/16,$443.22 ,$443.43 ,$439.04 ,$439.32 ,"$39,657,600 "
5/23/16,$439.35 ,$444.35 ,$438.82 ,$444.15 ,"$50,582,500 "
5/24/16,$444.29 ,$447.10 ,$443.93 ,$445.98 ,"$65,783,100 "
5/25/16,$446.06 ,$450.30 ,$446.06 ,$449.60 ,"$65,231,000 "
5/26/16,$449.67 ,$453.64 ,$447.90 ,$453.38 ,"$65,203,800 "
5/27/16,$453.52 ,$478.15 ,$453.52 ,$473.46 ,"$164,780,992 "
5/28/16,$473.03 ,$533.47 ,$472.70 ,$530.04 ,"$181,199,008 "
5/29/16,$527.48 ,$553.96 ,$512.18 ,$526.23 ,"$148,736,992 "
5/30/16,$528.47 ,$544.35 ,$522.96 ,$533.86 ,"$87,958,704 "
5/31/16,$534.19 ,$546.62 ,$520.66 ,$531.39 ,"$138,450,000 "
6/1/16,$531.11 ,$543.08 ,$525.64 ,$536.92 ,"$86,061,800 "
6/2/16,$536.52 ,$540.35 ,$533.08 ,$537.97 ,"$60,378,200 "
6/3/16,$537.68 ,$574.64 ,$536.92 ,$569.19 ,"$122,020,000 "
6/4/16,$569.71 ,$590.13 ,$564.24 ,$572.73 ,"$94,925,296 "
6/5/16,$573.31 ,$582.81 ,$569.18 ,$574.98 ,"$68,874,096 "
6/6/16,$574.60 ,$586.47 ,$574.60 ,$585.54 ,"$72,138,896 "
6/7/16,$585.45 ,$590.26 ,$567.51 ,$576.60 ,"$107,770,000 "
6/8/16,$577.17 ,$582.84 ,$573.13 ,$581.65 ,"$80,265,800 "
6/9/16,$582.20 ,$582.20 ,$570.95 ,$574.63 ,"$71,301,000 "
6/10/16,$575.84 ,$579.13 ,$573.33 ,$577.47 ,"$66,991,900 "
6/11/16,$578.67 ,$607.12 ,$578.67 ,$606.73 ,"$82,357,000 "
6/12/16,$609.68 ,$684.84 ,$607.04 ,$672.78 ,"$277,084,992 "
6/13/16,$671.65 ,$716.00 ,$664.49 ,$704.38 ,"$243,295,008 "
6/14/16,$704.50 ,$704.50 ,$662.80 ,$685.56 ,"$186,694,000 "
6/15/16,$685.68 ,$696.30 ,$672.56 ,$694.47 ,"$99,223,800 "
6/16/16,$696.52 ,$773.72 ,$696.52 ,$766.31 ,"$271,633,984 "
6/17/16,$768.49 ,$775.36 ,$716.56 ,$748.91 ,"$363,320,992 "
6/18/16,$748.76 ,$777.99 ,$733.93 ,$756.23 ,"$252,718,000 "
6/19/16,$756.69 ,$766.62 ,$745.63 ,$763.78 ,"$136,184,992 "
6/20/16,$763.93 ,$764.08 ,$732.73 ,$737.23 ,"$174,511,008 "
6/21/16,$735.88 ,$735.88 ,$639.07 ,$666.65 ,"$309,944,000 "
6/22/16,$665.91 ,$678.67 ,$587.48 ,$596.12 ,"$266,392,992 "
6/23/16,$597.44 ,$629.33 ,$558.14 ,$623.98 ,"$253,462,000 "
6/24/16,$625.58 ,$681.73 ,$625.27 ,$665.30 ,"$224,316,992 "
6/25/16,$665.28 ,$691.73 ,$646.56 ,$665.12 ,"$126,656,000 "
6/26/16,$665.93 ,$665.98 ,$616.93 ,$629.37 ,"$109,225,000 "
6/27/16,$629.35 ,$655.28 ,$620.52 ,$655.28 ,"$122,134,000 "
6/28/16,$658.10 ,$659.25 ,$637.77 ,$647.00 ,"$138,384,992 "
6/29/16,$644.12 ,$644.68 ,$628.28 ,$639.89 ,"$142,456,000 "
6/30/16,$640.59 ,$675.40 ,$636.61 ,$673.34 ,"$138,980,000 "
7/1/16,$672.52 ,$686.15 ,$669.59 ,$676.30 ,"$134,431,008 "
7/2/16,$676.73 ,$703.70 ,$676.40 ,$703.70 ,"$112,354,000 "
7/3/16,$704.97 ,$704.97 ,$649.01 ,$658.66 ,"$129,512,000 "
7/4/16,$658.80 ,$683.66 ,$650.51 ,$683.66 ,"$92,008,400 "
7/5/16,$683.21 ,$683.49 ,$665.07 ,$670.63 ,"$130,476,000 "
7/6/16,$670.42 ,$681.90 ,$670.42 ,$677.33 ,"$134,960,992 "
7/7/16,$678.09 ,$682.43 ,$611.83 ,$640.56 ,"$258,091,008 "
7/8/16,$640.69 ,$666.71 ,$636.47 ,$666.52 ,"$141,970,000 "
7/9/16,$666.38 ,$666.38 ,$633.40 ,$650.96 ,"$180,536,000 "
7/10/16,$650.60 ,$652.29 ,$641.26 ,$649.36 ,"$102,532,000 "
7/11/16,$648.48 ,$659.63 ,$644.98 ,$647.66 ,"$107,910,000 "
7/12/16,$648.28 ,$675.26 ,$646.78 ,$664.55 ,"$138,172,992 "
7/13/16,$664.80 ,$668.70 ,$654.47 ,$654.47 ,"$131,449,000 "
7/14/16,$652.92 ,$662.90 ,$652.92 ,$658.08 ,"$98,511,400 "
7/15/16,$659.17 ,$667.08 ,$659.04 ,$663.26 ,"$81,673,104 "
7/16/16,$663.78 ,$666.46 ,$659.33 ,$660.77 ,"$50,330,200 "
7/17/16,$661.99 ,$682.36 ,$661.99 ,$679.46 ,"$74,407,904 "
7/18/16,$679.81 ,$681.55 ,$668.63 ,$673.11 ,"$69,465,000 "
7/19/16,$672.74 ,$673.28 ,$667.63 ,$672.86 ,"$61,203,300 "
7/20/16,$672.81 ,$672.93 ,$663.36 ,$665.68 ,"$94,636,400 "
7/21/16,$665.23 ,$666.22 ,$660.41 ,$665.01 ,"$60,491,800 "
7/22/16,$664.92 ,$666.58 ,$646.72 ,$650.62 ,"$134,169,000 "
7/23/16,$650.73 ,$656.37 ,$648.52 ,$655.56 ,"$69,532,200 "
7/24/16,$655.41 ,$663.11 ,$652.79 ,$661.28 ,"$118,184,000 "
7/25/16,$661.26 ,$661.83 ,$653.40 ,$654.10 ,"$78,176,496 "
7/26/16,$654.23 ,$656.22 ,$645.88 ,$651.78 ,"$225,135,008 "
7/27/16,$651.63 ,$657.46 ,$648.45 ,$654.35 ,"$147,460,992 "
7/28/16,$654.49 ,$657.59 ,$654.49 ,$655.03 ,"$86,428,400 "
7/29/16,$655.11 ,$657.80 ,$654.79 ,$656.99 ,"$60,703,500 "
7/30/16,$657.01 ,$658.22 ,$654.21 ,$655.05 ,"$38,456,100 "
7/31/16,$655.10 ,$655.28 ,$624.36 ,$624.68 ,"$110,818,000 "
8/1/16,$624.60 ,$626.12 ,$605.88 ,$606.27 ,"$121,887,000 "
8/2/16,$606.40 ,$612.85 ,$531.33 ,$547.47 ,"$330,932,992 "
8/3/16,$548.66 ,$573.36 ,$541.55 ,$566.35 ,"$207,982,000 "
8/4/16,$566.33 ,$579.50 ,$565.78 ,$578.29 ,"$125,292,000 "
8/5/16,$578.28 ,$578.28 ,$569.98 ,$575.04 ,"$66,127,900 "
8/6/16,$575.03 ,$588.40 ,$569.47 ,$587.78 ,"$80,797,296 "
8/7/16,$587.77 ,$597.51 ,$586.82 ,$592.69 ,"$82,398,400 "
8/8/16,$592.74 ,$592.99 ,$588.05 ,$591.05 ,"$61,194,100 "
8/9/16,$591.04 ,$591.09 ,$584.79 ,$587.80 ,"$92,228,096 "
8/10/16,$587.65 ,$599.98 ,$586.37 ,$592.10 ,"$102,905,000 "
8/11/16,$592.12 ,$597.54 ,$589.12 ,$589.12 ,"$74,514,400 "
8/12/16,$588.80 ,$589.91 ,$583.81 ,$587.56 ,"$69,218,000 "
8/13/16,$587.36 ,$589.77 ,$584.98 ,$585.59 ,"$43,563,000 "
8/14/16,$585.59 ,$585.67 ,$564.78 ,$570.47 ,"$60,851,100 "
8/15/16,$570.49 ,$573.58 ,$563.24 ,$567.24 ,"$57,262,300 "
8/16/16,$567.24 ,$581.74 ,$566.72 ,$577.44 ,"$58,405,200 "
8/17/16,$577.76 ,$580.89 ,$571.43 ,$573.22 ,"$54,443,000 "
8/18/16,$573.71 ,$577.79 ,$573.43 ,$574.32 ,"$59,896,600 "
8/19/16,$574.34 ,$578.24 ,$574.18 ,$575.63 ,"$50,631,600 "
8/20/16,$576.08 ,$582.82 ,$575.46 ,$581.70 ,"$45,301,400 "
8/21/16,$581.94 ,$584.16 ,$580.22 ,$581.31 ,"$38,299,400 "
8/22/16,$581.31 ,$588.45 ,$580.59 ,$586.75 ,"$72,844,000 "
8/23/16,$586.77 ,$589.47 ,$581.63 ,$583.41 ,"$85,349,200 "
8/24/16,$583.41 ,$583.59 ,$579.85 ,$580.18 ,"$56,328,200 "
8/25/16,$580.18 ,$580.45 ,$575.17 ,$577.76 ,"$136,130,000 "
8/26/16,$577.75 ,$580.62 ,$576.86 ,$579.65 ,"$48,856,800 "
8/27/16,$579.45 ,$579.84 ,$568.63 ,$569.95 ,"$59,698,300 "
8/28/16,$569.83 ,$574.04 ,$569.74 ,$573.91 ,"$86,301,600 "
8/29/16,$574.07 ,$576.28 ,$573.47 ,$574.11 ,"$110,398,000 "
8/30/16,$574.11 ,$578.36 ,$574.11 ,$577.50 ,"$70,342,400 "
8/31/16,$577.59 ,$577.86 ,$573.64 ,$575.47 ,"$75,840,896 "
9/1/16,$575.55 ,$576.31 ,$571.81 ,$572.30 ,"$76,923,400 "
9/2/16,$572.41 ,$575.64 ,$570.81 ,$575.54 ,"$79,910,800 "
9/3/16,$575.55 ,$599.50 ,$574.06 ,$598.21 ,"$159,014,000 "
9/4/16,$598.59 ,$611.84 ,$596.85 ,$608.63 ,"$97,942,896 "
9/5/16,$608.99 ,$609.05 ,$602.24 ,$606.59 ,"$82,446,800 "
9/6/16,$606.51 ,$610.83 ,$605.09 ,$610.44 ,"$78,529,104 "
9/7/16,$610.57 ,$614.54 ,$608.51 ,$614.54 ,"$75,032,400 "
9/8/16,$614.64 ,$628.77 ,$613.84 ,$626.32 ,"$86,713,000 "
9/9/16,$626.35 ,$626.83 ,$620.26 ,$622.86 ,"$64,550,200 "
9/10/16,$622.93 ,$625.09 ,$622.40 ,$623.51 ,"$45,016,800 "
9/11/16,$623.42 ,$628.82 ,$600.51 ,$606.72 ,"$73,610,800 "
9/12/16,$607.01 ,$608.46 ,$605.41 ,$608.24 ,"$72,812,304 "
9/13/16,$608.03 ,$611.19 ,$606.92 ,$609.24 ,"$86,920,600 "
9/14/16,$608.84 ,$611.95 ,$608.41 ,$610.68 ,"$47,877,700 "
9/15/16,$610.59 ,$611.09 ,$607.16 ,$607.16 ,"$59,464,600 "
9/16/16,$607.25 ,$609.26 ,$606.73 ,$606.97 ,"$64,963,400 "
9/17/16,$607.22 ,$607.86 ,$605.19 ,$605.98 ,"$37,140,300 "
9/18/16,$606.28 ,$610.16 ,$605.86 ,$609.87 ,"$48,679,400 "
9/19/16,$609.87 ,$610.93 ,$608.27 ,$609.23 ,"$54,796,400 "
9/20/16,$609.25 ,$609.53 ,$607.94 ,$608.31 ,"$72,710,896 "
9/21/16,$603.59 ,$603.59 ,$595.88 ,$597.15 ,"$82,776,200 "
9/22/16,$597.28 ,$598.49 ,$596.21 ,$596.30 ,"$67,085,300 "
9/23/16,$596.20 ,$603.21 ,$595.79 ,$602.84 ,"$51,067,000 "
9/24/16,$602.96 ,$604.58 ,$602.04 ,$602.63 ,"$35,359,500 "
9/25/16,$602.75 ,$603.38 ,$599.71 ,$600.83 ,"$33,977,800 "
9/26/16,$600.81 ,$608.14 ,$600.35 ,$608.04 ,"$59,153,800 "
9/27/16,$608.02 ,$608.25 ,$604.11 ,$606.17 ,"$49,422,400 "
9/28/16,$606.24 ,$606.59 ,$604.61 ,$604.73 ,"$48,722,600 "
9/29/16,$605.02 ,$606.82 ,$604.85 ,$605.69 ,"$55,658,600 "
9/30/16,$605.72 ,$609.73 ,$604.14 ,$609.73 ,"$56,122,400 "
10/1/16,$609.93 ,$615.24 ,$609.93 ,$613.98 ,"$56,357,000 "
10/2/16,$613.95 ,$614.01 ,$609.68 ,$610.89 ,"$39,249,800 "
10/3/16,$610.97 ,$612.57 ,$610.46 ,$612.13 ,"$46,798,300 "
10/4/16,$612.05 ,$612.05 ,$609.48 ,$610.20 ,"$49,801,600 "
10/5/16,$610.22 ,$613.81 ,$609.62 ,$612.51 ,"$68,077,504 "
10/6/16,$612.47 ,$613.82 ,$611.47 ,$613.02 ,"$56,812,100 "
10/7/16,$612.61 ,$617.91 ,$611.82 ,$617.12 ,"$64,071,400 "
10/8/16,$617.34 ,$619.85 ,$617.34 ,$619.11 ,"$42,345,900 "
10/9/16,$619.17 ,$619.20 ,$616.61 ,$616.75 ,"$39,243,400 "
10/10/16,$616.82 ,$621.32 ,$616.20 ,$618.99 ,"$67,481,104 "
10/11/16,$619.24 ,$642.08 ,$618.50 ,$641.07 ,"$103,590,000 "
10/12/16,$640.87 ,$641.34 ,$635.97 ,$636.19 ,"$92,370,200 "
10/13/16,$636.03 ,$638.83 ,$635.03 ,$636.79 ,"$61,620,700 "
10/14/16,$637.01 ,$641.28 ,$637.01 ,$640.38 ,"$58,144,600 "
10/15/16,$640.31 ,$642.10 ,$637.39 ,$638.65 ,"$39,035,400 "
10/16/16,$639.08 ,$642.90 ,$638.90 ,$641.63 ,"$40,298,100 "
10/17/16,$641.82 ,$642.33 ,$638.66 ,$639.19 ,"$58,063,600 "
10/18/16,$639.41 ,$640.74 ,$636.00 ,$637.96 ,"$65,546,700 "
10/19/16,$638.13 ,$638.87 ,$628.01 ,$630.52 ,"$69,381,696 "
10/20/16,$630.66 ,$631.92 ,$628.26 ,$630.86 ,"$56,957,300 "
10/21/16,$630.83 ,$634.09 ,$630.69 ,$632.83 ,"$55,951,000 "
10/22/16,$633.14 ,$658.20 ,$632.85 ,$657.29 ,"$78,556,496 "
10/23/16,$657.62 ,$661.13 ,$653.89 ,$657.07 ,"$54,474,600 "
10/24/16,$657.16 ,$657.25 ,$652.59 ,$653.76 ,"$62,218,200 "
10/25/16,$654.00 ,$664.42 ,$653.70 ,$657.59 ,"$90,378,800 "
10/26/16,$657.68 ,$679.73 ,$657.68 ,$678.30 ,"$88,877,104 "
10/27/16,$678.21 ,$688.59 ,$678.04 ,$688.31 ,"$96,105,296 "
10/28/16,$688.00 ,$690.44 ,$684.16 ,$689.65 ,"$81,145,504 "
10/29/16,$690.29 ,$720.40 ,$690.05 ,$714.48 ,"$134,760,992 "
10/30/16,$714.12 ,$714.12 ,$696.47 ,$701.86 ,"$100,665,000 "
10/31/16,$702.64 ,$709.29 ,$691.68 ,$700.97 ,"$97,064,400 "
11/1/16,$701.34 ,$736.45 ,$701.34 ,$729.79 ,"$130,527,000 "
11/2/16,$730.07 ,$740.83 ,$722.35 ,$740.83 ,"$84,865,200 "
11/3/16,$742.35 ,$745.77 ,$678.16 ,$688.70 ,"$172,808,000 "
11/4/16,$689.12 ,$706.93 ,$685.56 ,$703.23 ,"$99,907,696 "
11/5/16,$703.53 ,$707.51 ,$697.74 ,$703.42 ,"$53,752,300 "
11/6/16,$703.81 ,$714.26 ,$699.56 ,$711.52 ,"$59,902,200 "
11/7/16,$710.74 ,$710.74 ,$699.90 ,$703.13 ,"$65,047,100 "
11/8/16,$703.09 ,$712.99 ,$702.39 ,$709.85 ,"$79,660,800 "
11/9/16,$709.83 ,$740.05 ,$708.61 ,$723.27 ,"$132,429,000 "
11/10/16,$722.84 ,$723.02 ,$711.21 ,$715.53 ,"$68,807,800 "
11/11/16,$715.55 ,$718.32 ,$714.41 ,$716.41 ,"$63,119,700 "
11/12/16,$716.75 ,$717.15 ,$704.03 ,$705.05 ,"$64,622,500 "
